freq,ipc,unit,geo\TIME_PERIOD	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 
A,CAB,P_MHAB,NL	1.372 	1.302 	2.567 	2.092 	3.28 	4.209 	4.078 	4.892 	5.006 	5.485 	4.544 	5.363 	5.52 	5.486 	5.591 	7.75 	11.76 	14.159 	19.615 	22.901 	27.407 	44.846 	29.089 	23.745 	22.912 	20.261 	18.305 	14.837 	17.714 	15.854 	14.501 	18.248 	17.298 	12.493 p
A,CAB,P_MHAB,NO	: 	: 	: 	0.243 	: 	0.241 	0.481 	0.239 	: 	0.948 	0.945 	0.941 	0.859 	0.349 	0.368 	3.565 	2.677 	4.626 	3.373 	3.424 	6.65 	6.773 	7.018 	5.349 	6.034 	8.197 	6.642 	3.929 	5.189 	5.405 	2.738 	4.221 	8.199 	5.458 p
A,CAB,P_MHAB,NZ	: 	0.628 	: 	0.308 	0.204 	: 	: 	0.301 	: 	: 	: 	0.858 	0.283 	0.616 	0.276 	0.544 	0.67 	1.917 	1.135 	2.79 	1.815 	1.546 	2.659 	3.186 	2.366 	1.884 	0.717 	2.604 	3.376 	2.573 	1.368 	1.398 	1.663 	1.547 p
A,CAB,P_MHAB,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.026 	: 	: 	0.039 	0.013 	0.015 	0.052 	0.039 	0.046 	: 	0.081 	0.131 	0.107 	0.092 	0.218 	0.439 	0.358 	0.418 	0.613 	0.444 	0.747 	0.777 p
A,CAB,P_MHAB,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.05 	0.083 	: 	: 	: 	: 	0.184 	: 	0.239 	: 	0.191 	0.095 	0.534 	0.644 	0.331 	0.446 	0.55 	0.379 	0.595 p
A,CAB,P_MHAB,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.043 	: 	: 	: 	: 	: 	0.044 	: 	: 	0.045 	0.104 	0.061 	0.035 	0.071 	0.203 	0.178 	0.343 	0.161 	0.273 	0.197 	0.431 	0.439 	0.446 p
A,CAB,P_MHAB,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.007 	: 	: 	0.005 	0.005 	0.017 	0.057 	0.067 	0.07 	0.106 	0.089 	0.058 	0.115 	0.056 	0.058 	0.046 	0.112 	0.106 	0.072 	0.133 	0.169 	0.28 	0.281 	0.276 	0.371 p
A,CAB,P_MHAB,SE	1.445 	2.164 	0.931 	2.762 	2.161 	2.697 	2.513 	2.446 	1.03 	2.837 	3.811 	2.639 	4.497 	2.666 	6.027 	5.702 	6.514 	11.446 	13.721 	16.23 	20.773 	17.374 	17.631 	12.907 	17.335 	14.321 	19.442 	21.307 	19.771 	20.879 	21.416 	22.166 	28.774 	14.407 p
A,CAB,P_MHAB,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.501 	0.501 	: 	0.25 	0.336 	1.005 	: 	: 	0.705 	1.275 	1.011 	0.418 	1.005 	1.6 	0.501 	: 	0.2 	: 	5.472 	2.86 	3.247 	: 	2.439 	0.365 	2.186 p
A,CAB,P_MHAB,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.061 	0.124 	: 	0.108 	: 	0.279 	: 	: 	: 	: 	1.055 	0.595 	0.464 	0.154 	0.764 	0.246 p
A,CAB,P_MHAB,TR	: 	: 	: 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.016 	0.003 	0.023 	0.016 	0.043 	: 	: 	0.046 	0.079 	0.01 	0.092 	0.194 	0.156 	0.206 	0.149 	0.205 	0.237 	0.22 p
A,CAB,P_MHAB,UK	0.835 	1.532 	1.438 	1.8 	2.16 	2.161 	2.562 	2.344 	2.893 	3.709 	3.77 	2.842 	3.579 	3.796 	4.59 	4.23 	5.404 	5.555 	7.46 	9.029 	11.88 	9.874 	8.919 	8.663 	9.055 	7.797 	7.012 	6.807 	6.133 	6.74 	5.892 	5.406 	6.54 	5.939 p
A,CAB,P_MHAB,US	2.276 	2.88 	2.973 	3.135 	3.408 	3.843 	3.802 	4.608 	5.429 	6.286 	7.487 	6.898 	6.899 	7.527 	8.464 	9.457 	9.817 	10.693 	12.301 	13.615 	14.171 	15.112 	15.365 	16.97 	15.764 	14.076 	12.22 	11.156 	10.821 	10.428 	11.716 	13.231 	13.415 	12.63 p
A,CAB,P_MHAB,ZA	: 	: 	: 	0.064 	: 	: 	: 	: 	0.043 	0.028 	: 	0.133 	0.207 	0.065 	: 	0.024 	: 	0.326 	0.363 	0.26 	0.312 	0.154 	0.145 	0.304 	0.126 	0.077 	0.242 	0.074 	0.155 	0.059 	0.071 	0.077 	0.157 	: 
A,CTE,NR,AT	2 	3 	4.5 	7.5 	9.33 	5 	8.7 	5.3 	9.7 	16.58 	20.83 	10.67 	9.08 	11.5 	27 	30.08 	29.37 	29.17 	41.33 	53.97 	40.06 	52.62 	100.89 	93.5 	60.32 	99.35 	118.38 	110.45 	48.22 	41.38 	41.02 	55.12 	57.23 	45.01 p
A,CTE,NR,AU	7 	7 	4.83 	10 	16 	13.25 	12.75 	14.17 	17 	15.53 	13 	16 	28.71 	20.8 	29.77 	28 	18.62 	51.25 	56.38 	177.88 	97.4 	102.98 	108.25 	97.44 	95.6 	96.27 	63.87 	63.96 	58.08 	80.57 	47.68 	50.48 	68.54 	45.82 p
A,CTE,NR,BE	8.2 	5 	5 	8 	10.36 	16.2 	21.5 	20.12 	16.67 	12.33 	27.83 	37 	35.17 	57.92 	46.4 	79.08 	44.4 	69.54 	60.46 	97.93 	95.13 	92.02 	138.77 	92.57 	129.7 	121.92 	100.57 	120.37 	128.61 	94.9 	91.79 	121.86 	145.8 	136.26 p
A,CTE,NR,BG	: 	: 	1 	: 	: 	: 	: 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	1 	1 	: 	: 	1.1 	1 	: 	: 	1.67 	: 	0.75 	: 	2 	: 	: 	1 	: 
A,CTE,NR,BR	: 	2 	: 	: 	: 	2 	: 	0.5 	2 	1 	4 	: 	1 	1.14 	1.57 	1 	0.5 	0.2 	3 	1 	1.44 	3.39 	5.92 	11.2 	5.67 	2.7 	6.47 	6.35 	8.98 	5.89 	7.39 	6.75 	11.92 	8.55 p
A,CTE,NR,CA	14.5 	13.47 	14.73 	18.57 	25.5 	33.55 	30.75 	27.33 	25 	34.29 	31.2 	30.42 	24.37 	54.31 	80.04 	104.21 	108.57 	174.81 	214.56 	256.51 	298.73 	342.82 	399.38 	410.27 	550.83 	611.5 	487.7 	572.04 	471.81 	523.84 	561.8 	565.99 	521.8 	349.88 p
A,CTE,NR,CH	20.75 	27.25 	29.5 	17.17 	35.67 	35.37 	35.23 	30.75 	33.33 	55.58 	39.33 	48.76 	55.22 	58.67 	86.1 	49.17 	76.28 	79.3 	102.85 	149.42 	187.82 	179.29 	159.33 	151.3 	171.05 	146.42 	168.17 	142.96 	109.13 	109.16 	139.18 	125.74 	122.26 	109.09 p
A,CTE,NR,CN_X_HK	: 	: 	: 	: 	: 	3 	3 	0.5 	0.33 	: 	2.25 	1 	1 	0.53 	0.5 	2.5 	2.83 	2.28 	7.99 	20.52 	61.03 	67.76 	150.02 	247.27 	372.73 	681.61 	851.27 	1055.38 	1069.98 	1475.39 	1270.91 	1462.2 	2029.38 	1383.29 p
A,CTE,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	0.5 	3 	2 	0.78 	: 	: 	0.33 	1 	1 	1.5 	: 	: 	: 	1 p
A,CTE,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.5 	: 	2.25 	0.2 	0.33 	1.5 	0.53 	2.75 	1.58 	4.5 	5.5 	10.83 	5 	12.25 	5 	7.12 	9.55 	7.33 	6.75 p
A,CTE,NR,DE	230.83 	250.42 	259.58 	327.67 	318.83 	373.97 	383.18 	403.28 	434.42 	497.09 	459.39 	485.95 	511.25 	470.35 	529.71 	594.5 	861.98 	1110.31 	1391.85 	1618.87 	1711.46 	1656.83 	1599.46 	1455.63 	1424.48 	1235.28 	1226.28 	1301.76 	1112.33 	1028.87 	1038.4 	1030.46 	969.02 	754.15 p
A,CTE,NR,DK	2 	2 	4 	6 	2 	7.5 	2 	2.5 	13.12 	9.25 	15 	8 	12.5 	9.13 	8.96 	16.73 	35.75 	29.18 	68.5 	89.95 	96.06 	102.56 	87.85 	101.55 	96.39 	99.6 	91.63 	101.87 	88.62 	96.93 	104.58 	112.12 	96.73 	111.91 p
A,CTE,NR,EA18	439.37 	471.83 	536.9 	600.67 	582.64 	659.97 	761.77 	785.66 	932.08 	1014.85 	1035.99 	1114.98 	1213.1 	1248.09 	1401.01 	1615.73 	2010.07 	2605.15 	3195.96 	3910.71 	4278.89 	4531.67 	4211.41 	3783.9 	3689.7 	3439.3 	3354.83 	3315.24 	2967.28 	2868.6 	2683.86 	2739.26 	2748.07 	2228.16 p
A,CTE,NR,EA19	439.37 	471.83 	536.9 	600.67 	582.64 	659.97 	761.77 	785.66 	932.08 	1014.85 	1035.99 	1114.98 	1213.1 	1248.09 	1401.01 	1615.73 	2010.32 	2605.15 	3195.96 	3910.71 	4279 	4531.67 	4211.41 	3783.9 	3689.7 	3440.1 	3354.83 	3315.24 	2968.28 	2868.6 	2683.86 	2741.26 	2750.87 	2229.16 p
A,CTE,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	3 	1 	1.5 	7.15 	6.83 	14.7 	10.25 	9.33 	4.67 	2.67 	3.67 p
A,CTE,NR,EL	: 	: 	: 	: 	: 	: 	1 	1 	: 	: 	1 	2 	0.33 	: 	1 	2 	0.2 	3.08 	4.33 	5.4 	4.23 	5.78 	7.62 	11.48 	7.5 	7 	9.29 	4.42 	6 	5.67 	4.27 	3 	8.03 	4.58 p
A,CTE,NR,ES	: 	: 	: 	0.5 	3 	1 	2 	1 	6 	6.5 	11 	12.67 	8 	17.5 	18.17 	11.08 	13.81 	22.42 	33.1 	35.92 	51.98 	69.87 	67.45 	63.6 	41.38 	54.04 	71.73 	78.68 	89.34 	116.84 	101.62 	104.28 	97.1 	91.05 p
A,CTE,NR,EU27_2020	456.28 	499.83 	574.07 	631.17 	607.64 	682.47 	784.93 	812.16 	973.4 	1063.01 	1092.82 	1171.96 	1324.98 	1345.61 	1542.56 	1822.77 	2272.17 	2964.14 	3603.28 	4422.87 	4812.08 	4941.99 	4572.5 	4237.46 	4147.75 	3940.8 	3953.84 	4030.56 	3659.89 	3465.55 	3332 	3418.21 	3503.73 	2741.52 p
A,CTE,NR,EU28	513.38 	587.33 	703.47 	776.05 	766.04 	857.93 	971.43 	990.12 	1195.46 	1320.21 	1340.44 	1363.05 	1585.29 	1627.61 	1882.23 	2223.75 	2730.06 	3422.11 	4185.16 	5149.64 	5685.86 	5689.03 	5249.48 	4883.12 	4741.04 	4520.37 	4516.21 	4571.3 	4104.69 	3895.91 	3749.05 	3831.84 	3942.08 	3099.53 p
A,CTE,NR,EX_SU	: 	: 	: 	: 	: 	: 	2.25 	1 	1 	6.5 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CTE,NR,FI	: 	2 	1 	: 	3 	2 	1 	7 	16 	21 	36.67 	71.5 	97.33 	99.56 	166.63 	182.38 	265.27 	338.91 	387.57 	567.06 	549.92 	544.82 	514.67 	485.03 	523.01 	473.07 	398.92 	332.17 	284.8 	245.41 	238.14 	230.18 	313.97 	185.55 p
A,CTE,NR,FR	140.33 	155.25 	173.48 	163.5 	148.43 	134.97 	195.38 	194.16 	278.83 	277.58 	308.13 	312.4 	320.5 	350.85 	354.57 	392.32 	407.83 	551.2 	689.32 	817.37 	873.04 	879.04 	880.65 	925.36 	837.75 	829.54 	846.33 	824.19 	748.06 	822.07 	726.53 	727.75 	759.62 	637.05 p
A,CTE,NR,HK	: 	: 	: 	: 	: 	: 	: 	: 	1 	5.67 	4.75 	: 	2.67 	0.83 	4.33 	2.87 	3.17 	1.5 	0.25 	6 	9 	: 	: 	2.6 	4.83 	1 	1.43 	4.5 	2 	1 	2.5 	1.5 	: 	6.25 p
A,CTE,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.33 	: 	1 	: 	2 	: 	: 	0.33 	1.5 	0.33 	0.2 	1.5 	4.58 	1.4 	5.5 	: 	1.83 	: 	0.5 	3 p
A,CTE,NR,HU	: 	2 	3 	1 	5 	2 	: 	1 	1 	: 	: 	: 	: 	2 	1.74 	3.2 	1 	2.33 	6 	11.08 	20.5 	16.02 	10.29 	19.36 	19.9 	11.26 	27.68 	29 	32.55 	30.14 	37.07 	42.22 	29.8 	31.3 p
A,CTE,NR,IE	: 	: 	1 	: 	: 	3.5 	3 	: 	3 	: 	2 	5 	4.86 	0.75 	4.28 	3.33 	7.87 	12.2 	16.93 	26.61 	23.42 	31.88 	31.53 	17.53 	28.32 	19.48 	30.87 	20.3 	41.62 	33.23 	41.87 	64.68 	30.7 	33.73 p
A,CTE,NR,IL	1 	1 	4.27 	4.83 	1.25 	3.14 	6.77 	5 	6.67 	12 	20 	30.37 	40.14 	33.29 	40.48 	53.81 	64.28 	108.48 	136.75 	183.3 	257.93 	219.4 	151.57 	171.81 	183.95 	172.21 	184.14 	141.7 	125.25 	127.15 	157.4 	141.54 	196.01 	100.46 p
A,CTE,NR,IN	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.83 	0.8 	0.5 	2.25 	1.5 	: 	1.77 	2.25 	4.24 	5.18 	9.95 	13.07 	25.59 	38.3 	47.12 	40.5 	40.66 	65.79 	49.09 	85.49 	123.78 	117.25 	136.32 	92.98 p
A,CTE,NR,IS	: 	: 	: 	1.33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.83 	3 	: 	3.5 	2.5 	7.3 	8.29 	6.58 	3.33 	: 	2 	: 	0.83 	: 	1 	0.67 	0.37 	0.33 	: 	: 	: 
A,CTE,NR,IT	24 	15.67 	18 	20 	26.33 	34.5 	32.5 	35.46 	34.83 	56.59 	54.13 	43.75 	69.4 	70.33 	63.75 	75.8 	72.67 	78.17 	112.72 	115.75 	148.7 	164.85 	184.36 	210.1 	201.22 	210.78 	188.44 	190.86 	186.51 	146.45 	146.92 	141.17 	142.74 	100.13 p
A,CTE,NR,JP	153.33 	184 	290.83 	342.17 	479.75 	516.88 	502.5 	704.67 	851.09 	1081.44 	1386.34 	1372.4 	1251.53 	1308.66 	1365.93 	1565.48 	1979.15 	2286.38 	2459.78 	2798.55 	3523.06 	3122.21 	3465.14 	3620.55 	3549.28 	2907.56 	2943.22 	2600.72 	2476.84 	2348.54 	2274.69 	2314.51 	2124.59 	1467.64 p
A,CTE,NR,KR	: 	: 	: 	: 	: 	0.14 	: 	: 	3 	9.37 	34.67 	38 	46.75 	72.17 	87.33 	104.42 	106.03 	227.15 	324 	288.19 	321.94 	456.08 	767.57 	1170.81 	1437.14 	1588.42 	1591.68 	1383.25 	1072.19 	1344.21 	1489.93 	1362.46 	1265.69 	1100.27 p
A,CTE,NR,LI	: 	1 	: 	: 	: 	: 	: 	: 	1.67 	1 	: 	: 	: 	: 	: 	: 	: 	: 	0.33 	: 	1 	0.58 	: 	: 	: 	2 	0.5 	1 	0.33 	0.4 	: 	1 	: 	3 p
A,CTE,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.25 	: 	: 	: 	0.11 	: 	: 	: 	: 	0.8 	: 	: 	1 	: 	: 	2 	2.8 	1 p
A,CTE,NR,LU	1 	: 	1 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	0.5 	4 	1 	2.5 	2.33 	3 	: 	2 	6.25 	4 	4 	1.03 	2.17 	2.83 	3.92 	2 	2.75 	2 p
A,CTE,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	0.5 	: 	2 	0.25 	1.75 	1 	2.25 	2 p
A,CTE,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	0.5 	: 	: 	: 	: 	: 
A,CTE,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	0.33 	1 	0.67 	: 	: 	: 	: 
A,CTE,NR,MX	: 	: 	: 	: 	: 	: 	2.33 	: 	: 	: 	: 	: 	0.5 	0.33 	1.39 	: 	: 	0.5 	0.5 	3 	2.2 	2.5 	1.33 	2 	5 	0.67 	3.4 	1 	0.5 	1.4 	0.7 	: 	1 	1.75 p
A,CTE,NR,NL	33 	40.5 	73.33 	73.5 	63.35 	88.83 	113.5 	118.33 	132.53 	127.17 	114.5 	132.55 	155.83 	167.83 	189 	244.65 	306.19 	381.83 	451.27 	567.67 	772.68 	1020.09 	672.27 	410.22 	416.78 	345.62 	317.06 	289.05 	270.39 	305.88 	221.88 	226.52 	199.66 	212.43 p
A,CTE,NR,NO	: 	1 	2 	: 	1 	1.14 	2.67 	4 	3 	6.67 	1 	3 	4 	3.5 	3.5 	5 	13.67 	23.52 	20.3 	32.87 	25.95 	32.17 	31.87 	43.67 	34.8 	28.58 	27.31 	24.38 	23 	26.17 	21.33 	31.38 	38.13 	24.76 p
A,CTE,NR,NZ	: 	1 	: 	1 	: 	: 	: 	: 	: 	1 	: 	2 	3 	3 	3.33 	2 	4 	4.54 	7.75 	3 	8 	9.17 	10.67 	12.3 	5.33 	2.45 	7.7 	9.93 	4.58 	3.7 	8.9 	6.08 	9.17 	3 p
A,CTE,NR,PL	: 	: 	: 	: 	2 	1 	1 	: 	3 	: 	: 	: 	: 	: 	2.33 	0.5 	: 	0.25 	0.33 	0.25 	1 	1.07 	2.73 	5 	8 	17.2 	10.12 	14.87 	12.92 	21 	25.62 	22.88 	25.03 	33.47 p
A,CTE,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.5 	1.5 	1.1 	1 	: 	: 	: 	: 	1.67 	0.33 	1.5 	2 	2.25 	4.5 	3.33 	26.37 	19.9 	20.97 	11.13 	5 	5.99 	10.84 	6.5 	7.19 p
A,CTE,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	1 	0.67 	1.33 	1.67 	: 	2 	8.1 	8.58 	7.67 	3.17 	2.33 	3.67 	3.98 p
A,CTE,NR,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	0.71 	1.75 	2 	3.08 	4.86 	7.48 	6 	17.17 	9.57 	18.3 	23.85 	13.42 	32.52 	13.44 	15.26 	16.09 	10.83 	12.27 	11.99 	18.75 	42.95 	38.76 	31.39 p
A,CTE,NR,SE	14.92 	24 	29.17 	23.5 	16 	12 	20.17 	23 	21.2 	38.92 	41.83 	48.98 	99.37 	86.38 	128.19 	186.6 	224.1 	325.22 	329.48 	410.88 	415.52 	288.23 	257.05 	325.98 	331.89 	369.47 	462.98 	559.34 	543.44 	439.21 	475.86 	497.41 	596.14 	328.71 p
A,CTE,NR,SG	: 	: 	: 	: 	0.5 	: 	: 	: 	: 	1.67 	: 	8.5 	10.33 	5.23 	7.67 	10.25 	23 	20.83 	34.53 	28.18 	21.94 	46.83 	55.52 	71.55 	63.08 	51.2 	43.3 	48.41 	40.42 	44.25 	42.09 	36.38 	23.97 	10.33 p
A,CTE,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.5 	0.5 	: 	: 	1.08 	3.2 	: 	2.19 	4 	5.5 	5 	2 	2 	1 	4 	5 	0.4 	3.32 	6 	1.5 	3 p
A,CTE,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	0.25 	1.33 	0.25 	2 	2.17 	1.83 	3.25 	3.83 	2.17 	2 	: 	0.17 	1.2 	2.62 p
A,CTE,NR,TR	: 	: 	: 	: 	0.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.33 	2.17 	4 	2.42 	2.34 	: 	3.42 	5.33 	2.04 	4.55 	20 	23.17 	19 	21.02 	24.75 	17.83 	20.17 	9.5 p
A,CTE,NR,TW	: 	0.5 	: 	: 	: 	: 	1 	1.5 	2 	4.33 	4.25 	5.5 	3.75 	7.28 	3.83 	5.92 	4.75 	14.33 	12 	16.08 	25.58 	33 	63.07 	34.73 	79 	130.67 	130.26 	153.42 	154.33 	122.22 	171.97 	169.72 	186.8 	168.8 p
A,CTE,NR,UK	57.1 	87.5 	129.4 	144.88 	158.4 	175.46 	186.5 	177.96 	222.06 	257.2 	247.62 	191.09 	260.31 	282 	339.67 	400.98 	457.89 	457.97 	581.88 	726.77 	873.78 	747.04 	676.98 	645.66 	593.29 	579.57 	562.37 	540.74 	444.8 	430.36 	417.05 	413.63 	438.35 	358.01 p
A,CTE,NR,US	271.03 	318.45 	452.37 	447.63 	505.09 	561.45 	601.31 	666.34 	786.28 	1058.9 	1229.88 	1252.58 	1455.81 	1593.33 	2052.07 	2302.51 	2696.47 	3043.39 	3778.62 	4291.61 	4558.24 	4517.3 	4673.98 	4838.38 	4513.86 	4344.55 	4017.65 	3623.15 	3107.02 	3012.68 	3005.24 	3492 	3847.64 	2806.83 p
A,CTE,NR,WORLD	983 	1148 	1503.167 	1621 	1833 	2030 	2175.5 	2447.083 	2932.667 	3620.917 	4119 	4188.333 	4530 	4801 	5667 	6476.25 	7868.564 	9507.667 	11413.25 	13496 	15196.75 	14936.708 	15439.25 	15909.96 	15928.083 	15441.883 	15236.157 	14621.583 	13033.611 	13337.667 	13228.5 	13888.5 	14703.5 	10931 p
A,CTE,NR,ZA	: 	1 	: 	: 	: 	: 	: 	: 	0.5 	: 	1 	5.75 	10.19 	1.22 	4 	4 	0.33 	16.5 	10.83 	13 	15 	3 	9 	10.5 	3.34 	1.71 	8 	5.33 	4 	3.25 	1.63 	5 	4 	5 p
A,CTE,P_MACT,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.06 	7.811 	7.689 	7.627 	10.781 	14.008 	10.38 	13.499 	26.005 	23.498 	15.506 	25.021 	29.319 	26.784 	11.574 	9.84 	9.72 	12.981 	13.33 	10.38 p
A,CTE,P_MACT,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.718 	14.178 	11.187 	18.913 	10.609 	16.504 	14.177 	22.372 	21.647 	21.196 	31.534 	20.884 	28.708 	26.357 	21.641 	25.43 	26.911 	19.77 	18.754 	25.095 	29.799 	27.544 p
A,CTE,P_MACT,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.327 	0.298 	: 	: 	0.503 	: 	0.215 	: 	0.572 	: 	: 	0.299 	: 
A,CTE,P_MACT,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.609 	9.314 	6.085 	2.277 	: 	: 	0.882 	2.542 	2.518 	3.709 	: 	: 	: 	2.305 p
A,CTE,P_MACT,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.039 	0.064 	0.292 	0.104 	0.539 	0.31 	0.88 	1.063 	2.083 	0.962 	2.341 	0.946 	1.351 	1.828 	1.394 	1.272 p
A,CTE,P_MACT,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.091 	12.018 	13.53 	15.258 	22.073 	28.376 	35.408 	40.832 	43.24 	41.806 	40.324 	36.633 	35.641 	30.226 	29.709 	31.397 	26.765 	24.751 	24.986 	25.02 	23.434 	18.079 p
A,CTE,P_MACT,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.371 	3.23 	3.253 	6.021 	12.774 	10.385 	24.368 	31.592 	33.875 	35.771 	30.778 	35.483 	33.262 	34.439 	31.39 	34.954 	29.995 	32.885 	35.761 	38.342 	33.27 	38.725 p
A,CTE,P_MACT,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.808 	22.852 	27.629 	29.932 	31.395 	28.83 	25.499 	24.605 	22.597 	21.783 	21.312 	18.876 	18.211 	17.032 	17.448 	17.374 	14.065 p
A,CTE,P_MACT,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.575 	27.299 	29.586 	31.042 	28.512 	25.221 	24.347 	22.372 	21.571 	21.106 	18.703 	18.036 	16.869 	17.297 	17.232 	13.943 p
A,CTE,P_MACT,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.5 	: 	: 	: 	: 	4.46 	1.493 	2.24 	10.325 	9.911 	21.188 	14.918 	13.686 	6.784 	3.907 	5.396 p
A,CTE,P_MACT,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.082 	: 	0.24 	0.474 	0.047 	0.716 	0.958 	1.179 	0.918 	1.232 	1.606 	2.385 	1.528 	1.418 	1.867 	0.887 	1.2 	1.125 	0.849 	0.608 	1.642 	0.946 p
A,CTE,P_MACT,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.519 	1.127 	1.16 	0.702 	0.86 	1.371 	1.99 	2.113 	2.953 	3.871 	3.557 	3.221 	2.031 	2.556 	3.293 	3.508 	3.873 	5.023 	4.349 	4.45 	4.142 	3.926 p
A,CTE,P_MACT,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.178 	21.395 	20.599 	19.406 	19.179 	19.26 	17.13 	16.212 	15.632 	16.01 	16.352 	12.824 p
A,CTE,P_MACT,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38.881 	40.087 	67.5 	73.271 	106.078 	136.185 	154.269 	221.638 	212.365 	209.16 	197.222 	186.572 	201.67 	180.506 	150.65 	124.18 	105.368 	91.639 	89.134 	85.811 	116.717 	69.333 p
A,CTE,P_MACT,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.198 	14.383 	14.483 	15.905 	16.431 	22.134 	27.507 	32.187 	34.053 	33.98 	33.723 	34.218 	30.724 	30.207 	30.628 	29.589 	26.671 	29.052 	25.573 	25.603 	26.512 	22.137 p
A,CTE,P_MACT,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.835 	0.184 	0.11 	0.827 	2.543 	0.727 	2.841 	: 	0.957 	: 	0.268 	1.629 p
